,Abbotts babbler,Abbotts booby,Abyssinian ground hornbill,African emerald cuckoo,African firefinch,African oystercatcher,African pygmy goose,African pygmy kingfisher,Albatross,Alberts towhee,Alexandrine parakeet,Alpine chough,Altamira yellowthroat,American avocet,American bittern,American coot,American dipper,American flamingo,American goldfinch,American kestrel,American redstart,American robin,American wigeon,Amethyst woodstar,Andean goose,Andean lapwing,Andean siskin,Anhinga,Anianiau,Annas hummingbird,Antbird,Apapane,Apostlebird,Araripe manakin,Ashy storm petrel,Ashy thrush,Asian fairy-bluebird,Asian green bee-eater,Asian openbill,Atlantic canary,Auckland shag,Austral canastero,Australasian figbird,Australian brushturkey,Azaras spinetail,Azure jay,Azure tit,Azure-breasted pitta,Azure-shouldered tanager,Baikal teal,Bald eagle,Bali myna,Baltimore oriole,Bananaquit,Band-tailed guan,Banded broadbill,Banded stilt,Bar-tailed godwit,Barn swallow,Barred puffbird,Barrows goldeneye,Bay-breasted warbler,Bearded barbet,Bearded bellbird,Bearded reedling,Belted kingfisher,Bird of paradise,Black baza,Black francolin,Black skimmer,Black swan,Black vulture,Black-and-yellow broadbill,Black-breasted puffbird,Black-capped chickadee,Black-collared jay,Black-faced spoonbill,Black-headed parrot,Black-necked grebe,Black-necked stilt,Black-tailed crake,Black-throated blue warbler,Black-throated bushtit,Black-throated huet-huet,Black-throated sparrow,Black-vented shearwater,Blackburnian warbler,Blond-crested woodpecker,Blood pheasant,Blue coua,Blue dacnis,Blue grosbeak,Blue malkoha,Blue-grey gnatcatcher,Blue-throated piping guan,Blue-throated toucanet,Bobolink,Bornean bristlehead,Bornean crested fireback,Bornean leafbird,Bornean peacock-pheasant,Brandts cormorant,Brewers blackbird,Brown creeper,Brown noddy,Brown thrasher,Brown-headed cowbird,Brown-winged whistling thrush,Buff-bellied pipit,Bufflehead,Bulwers pheasant,Burchells courser,Caatinga cacholote,Cabots tragopan,Cactus wren,California condor,California gull,California quail,Campo flicker,Canvasback,Cape longclaw,Cape may warbler,Cape rock thrush,Cape starling,Capped heron,Capuchinbird,Carnabys black cockatoo,Caspian tern,Cassowary,Cedar waxwing,Cerulean warbler,Chattering lory,Chestnut-bellied euphonia,Chestnut-winged cuckoo,Chinese bamboo partridge,Chinese pond heron,Chipping sparrow,Chucao tapaculo,Chukar partridge,Cinnamon attila,Cinnamon flycatcher,Cinnamon teal,Clarks grebe,Clarks nutcracker,Cock of the rock,Cockatoo,Collared aracari,Collared crescentchest,Common emerald dove,Common firecrest,Common grackle,Common green magpie,Common iora,Common loon,Common myna,Common ostrich,Common pheasant,Common poorwill,Common starling,Congo pied hornbill,Coppersmith barbet,Coppery-tailed coucal,Crab-plover,Crane hawk,Cream-colored woodpecker,Crested auklet,Crested caracara,Crested coua,Crested ibis,Crested kingfisher,Crested oropendola,Crested partridge,Crested serpent eagle,Crimson chat,Crimson sunbird,Crow,Cuban tody,Cuban trogon,Curl-crested aracari,Dalmatian pelican,Darjeeling woodpecker,Dark-eyed junco,Dark-necked tailorbird,Darnauds barbet,Daurian redstart,Demoiselle crane,Double-barred finch,Double-crested cormorant,Double-eyed fig parrot,Downy woodpecker,Dunlin,Dusky grouse,Dusky lory,Dusky robin,Eared pitta,Eastern bluebird,Eastern bluebonnet,Eastern golden weaver,Eastern meadowlark,Eastern rosella,Eastern shriketit,Eastern towhee,Eastern whip-poor-will,Eastern yellow robin,Ecuadorian hillstar,Egyptian goose,Elegant trogon,Elliots pheasant,Emerald tanager,Emperor penguin,Emu,Enggano hill myna,Eurasian bullfinch,Eurasian golden oriole,Eurasian goshawk,Eurasian magpie,Eurasian teal,Eurasian whimbrel,European goldfinch,European turtle dove,Evening grosbeak,Fairy tern,Fan-tailed widowbird,Fasciated wren,Fiery minivet,Fiordland penguin,Fire-tailed myzornis,Flame bowerbird,Flame-colored tanager,Forest wagtail,Frigate,Frillback pigeon,Galah,Gambels quail,Gang-gang cockatoo,Gila woodpecker,Gilded flicker,Glossy ibis,Golden bowerbird,Golden eagle,Golden parakeet,Golden pheasant,Golden pipit,Golden-browed chlorophonia,Golden-cheeked warbler,Golden-winged warbler,Gouldian finch,Grandala,Great argus,Great blue heron,Great grey owl,Great indian bustard,Great jacamar,Great kiskadee,Great potoo,Great tinamou,Great tit,Great xenops,Greater pewee,Greater prairie chicken,Green broadbill,Green-and-rufous kingfisher,Grey catbird,Grey crowned crane,Grey cuckooshrike,Grey go-away-bird,Grey kingbird,Grey partridge,Grey plover,Grey-headed chachalaca,Grey-headed fish eagle,Groove-billed ani,Guinea turaco,Guineafowl,Gurneys pitta,Gyrfalcon,Hamerkop,Harlequin duck,Harlequin quail,Harpy eagle,Hawfinch,Helmet vanga,Henderson fruit dove,Himalayan bluetail,Himalayan monal,Hispaniolan euphonia,Hoatzin,Hooded merganser,Hoopoes,Horned guan,Horned lark,Horned sungem,House finch,House sparrow,Hyacinth macaw,Iberian magpie,Ibisbill,Iiwi,Imperial shag,Inca jay,Inca tern,Indian peafowl,Indian pitta,Indian roller,Indian vulture,Indigo bunting,Indigo flycatcher,Inland dotterel,Ivory gull,Ivory-billed aracari,Jabiru,Jack snipe,Jacobin pigeon,Jandaya parakeet,Japanese robin,Java sparrow,Jocotoco antpitta,Kagu,Kakapo,Killdeer,King eider,King vulture,Kinglet manakin,Kiwi,Knob-billed duck,Kookaburra,Lark bunting,Laughing gull,Lazuli bunting,Lesser adjutant,Lesser striped swallow,Lilac-breasted roller,Limpkin,Little auk,Little penguin,Loggerhead shrike,Long-eared owl,Lucifer sheartail,Magpie goose,Malabar grey hornbill,Malachite kingfisher,Malagasy white-eye,Maleo,Mallard,Mandarin duck,Mangrove cuckoo,Marabou stork,Masked bobwhite,Masked booby,Masked lapwing,Mckays bunting,Merlin,Mikado pheasant,Military macaw,Mourning dove,Nene,Nicobar pigeon,Noisy friarbird,Northern bald ibis,Northern beardless tyrannulet,Northern cardinal,Northern flicker,Northern fulmar,Northern gannet,Northern jacana,Northern mockingbird,Northern parula,Northern red bishop,Northern shoveler,Ocellated turkey,Oilbird,Okinawa rail,Orange-breasted bunting,Orange-breasted trogon,Oriental bay owl,Oriental dollarbird,Ornate hawk-eagle,Osprey,Ovenbird,Oyster catcher,Painted bunting,Palila,Palm-nut vulture,Paradise tanager,Parakeet auklet,Patagonian sierra finch,Peregrine falcon,Phainopepla,Philippine eagle,Pink robin,Pitta,Pomarine jaeger,Puffin,Puna teal,Purple finch,Purple gallinule,Purple martin,Pyrrhuloxia,Rainbow lorikeet,Razorbill,Red avadavat,Red bellied pitta,Red crossbill,Red fody,Red knot,Red tanager,Red-bearded bee-eater,Red-billed tropicbird,Red-browed finch,Red-faced cormorant,Red-faced warbler,Red-headed woodpecker,Red-legged honeycreeper,Red-naped trogon,Red-shouldered hawk,Red-tailed ant thrush,Red-tailed hawk,Red-wattled lapwing,Red-whiskered bulbul,Red-winged blackbird,Redhead,Regent bowerbird,Resplendent quetzal,Roadrunner,Rock dove,Rose-breasted grosbeak,Roseate spoonbill,Rosy-faced lovebird,Rough-legged buzzard,Royal flycatcher,Ruby-crowned kinglet,Ruby-throated hummingbird,Ruddy kingfisher,Ruddy shelduck,Rufous motmot,Rufous treepie,Sage grouse,Sand martin,Sandhill crane,Satyr tragopan,Says phoebe,Scarlet ibis,Scarlet macaw,Scarlet tanager,Scarlet-faced liocichla,Shoebill,Short-billed dowitcher,Smiths longspur,Snow goose,Snow partridge,Snowy egret,Snowy owl,Snowy plover,Snowy sheathbill,Sora,South island takahe,Southern carmine bee-eater,Spangled cotinga,Splendid fairywren,Spoon-billed sandpiper,Spotted catbird,Spotted whistling duck,Squacco heron,Sri lanka blue magpie,Steamer duck,Stork-billed kingfisher,Striated caracara,Striped owl,Sunbittern,Superb starling,Surf scoter,Swinhoes pheasant,Taiwan blue magpie,Tasmanian nativehen,Tawny frogmouth,Tit mouse,Toucan,Townsends warbler,Tree swallow,Tricolored blackbird,Tropical kingbird,Trumpeter swan,Turkey vulture,Turquoise-browed motmot,Umbrella bird,Varied thrush,Veery,Venezuelan troupial,Verdin,Vermilion flycatcher,Victoria crowned pigeon,Violet cuckoo,Violet turaco,Violet-backed starling,Violet-green swallow,Visayan hornbill,Vulturine guineafowl,Wallcreeper,Wattled curassow,Western barn owl,Western house martin,Western long-tailed hornbill,Western swamphen,White-breasted nuthatch,White-breasted waterhen,White-browed crake,White-cheeked turaco,White-eared hummingbird,White-necked raven,White-tailed tropicbird,White-throated bee-eater,Wild turkey,Willow ptarmigan,Wilsons bird-of-paradise,Wood duck,Wood thrush,Woodland kingfisher,Wrentit,Yellow-bellied flowerpecker,Yellow-breasted chat,Yellow-headed blackbird,Yellow-rumped cacique,Zebra dove,Precision,Recall,f1-score
Abbotts babbler,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.7780320366132722,0.8124253285543609
Abbotts booby,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.5504587155963303,0.6521739130434783
Abyssinian ground hornbill,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9090909090909091,0.9523809523809523
African emerald cuckoo,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.8656036446469249,0.9058402860548271
African firefinch,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7727272727272727,0.7807933194154488,0.7767393561786085
African oystercatcher,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8636363636363636,0.9268292682926829
African pygmy goose,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545454545454546,0.9565217391304348,0.9555325749741469
African pygmy kingfisher,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8636363636363636,0.9268292682926829
